Datetime,Open,High,Low,Close,Volume,Adj Close,Prediction,pointpos,Prediction_plot
2024-09-24 07:06:00+00:00,146.51,146.58,146.42,146.42,254127,838,0,146.42049999999998,1
2024-09-24 07:07:00+00:00,146.42,146.46,146.34,146.36,192290,607,1,146.3405,1
2024-09-24 07:08:00+00:00,146.35,146.43,146.35,146.4,49395,289,0,146.35049999999998,1
2024-09-24 07:09:00+00:00,146.4,146.45,146.36,146.36,63359,495,0,146.3605,1
2024-09-24 07:10:00+00:00,146.37,146.42,146.21,146.21,179034,800,3,146.2105,1
2024-09-24 07:11:00+00:00,146.21,146.3,146.2,146.3,65323,413,2,146.20049999999998,1
2024-09-24 07:12:00+00:00,146.3,146.4,146.24,146.4,130471,510,1,146.2405,1
2024-09-24 07:13:00+00:00,146.4,146.55,146.39,146.54,236969,553,0,146.39049999999997,1
2024-09-24 07:14:00+00:00,146.54,146.55,146.51,146.53,131453,304,0,146.51049999999998,1
2024-09-24 07:15:00+00:00,146.54,146.66,146.42,146.45,279386,968,2,146.42049999999998,1
2024-09-24 07:16:00+00:00,146.46,146.71,146.41,146.71,148526,852,1,146.41049999999998,1
2024-09-24 07:17:00+00:00,146.72,146.8,146.7,146.72,697847,931,0,146.70049999999998,1
2024-09-24 07:18:00+00:00,146.71,146.72,146.61,146.62,151687,873,4,146.6105,1
2024-09-24 07:19:00+00:00,146.61,146.7,146.56,146.69,118036,491,3,146.5605,1
2024-09-24 07:20:00+00:00,146.7,146.75,146.63,146.75,116417,474,2,146.63049999999998,1
2024-09-24 07:21:00+00:00,146.75,146.79,146.75,146.78,116860,231,1,146.7505,1
2024-09-24 07:22:00+00:00,146.78,146.87,146.73,146.82,437857,940,0,146.73049999999998,1
2024-09-24 07:23:00+00:00,146.82,146.84,146.63,146.72,429531,1172,0,146.63049999999998,1
2024-09-24 07:24:00+00:00,146.72,146.74,146.6,146.61,190989,572,0,146.60049999999998,1
2024-09-24 07:25:00+00:00,146.61,146.61,146.54,146.58,120283,541,0,146.54049999999998,1
2024-09-24 07:26:00+00:00,146.58,146.6,146.48,146.55,89682,816,0,146.48049999999998,1
2024-09-24 07:27:00+00:00,146.55,146.55,146.5,146.5,337931,418,0,146.5005,1
2024-09-24 07:28:00+00:00,146.49,146.5,146.26,146.31,223468,1281,1,146.26049999999998,1
2024-09-24 07:29:00+00:00,146.3,146.36,146.25,146.35,127878,485,0,146.2505,1
2024-09-24 07:30:00+00:00,146.36,146.42,146.3,146.31,111814,892,0,146.3005,1
2024-09-24 07:31:00+00:00,146.31,146.31,146.13,146.18,156593,696,0,146.13049999999998,1
2024-09-24 07:32:00+00:00,146.18,146.22,146.1,146.1,245979,947,4,146.10049999999998,1
2024-09-24 07:33:00+00:00,146.11,146.22,146.09,146.18,236680,697,3,146.0905,1
2024-09-24 07:34:00+00:00,146.18,146.38,146.16,146.31,223854,623,2,146.16049999999998,1
2024-09-24 07:35:00+00:00,146.31,146.47,146.31,146.41,96642,768,1,146.3105,1
2024-09-24 07:36:00+00:00,146.4,146.51,146.4,146.41,199614,626,0,146.4005,1
2024-09-24 07:37:00+00:00,146.41,146.47,146.31,146.32,151336,837,0,146.3105,1
2024-09-24 07:38:00+00:00,146.32,146.35,146.25,146.27,102455,602,0,146.2505,1
2024-09-24 07:39:00+00:00,146.27,146.3,146.26,146.27,62275,238,1,146.26049999999998,1
